	~venusandadonis 5~sonnets 1~loverscomplaint 14
Hot	~venusandadonis 1~various 1
How	~venusandadonis 6~various 3~sonnets 21~rapeoflucrece 8~loverscomplaint 1
Huge	~rapeoflucrece 1
Hung	~sonnets 1
Hunting	~venusandadonis 1
I	~venusandadonis 83~various 46~sonnets 345~rapeoflucrece 100~loverscomplaint 20
I'll	~venusandadonis 7~various 2~sonnets 7~rapeoflucrece 8
II	~various 1~sonnets 1
III	~various 1~sonnets 1
IN	~sonnets 1
INSUING	~sonnets 1
IT	~various 1
IV	~various 1~sonnets 1
IX	~various 1~sonnets 1
If	~venusandadonis 13~various 12~sonnets 34~rapeoflucrece 16~loverscomplaint 3
Ilion	~rapeoflucrece 2
Ill-nurtured	~venusandadonis 1
Imagine	~rapeoflucrece 2
Immaculate	~rapeoflucrece 1
Immodestly	~rapeoflucrece 1
Imperious	~venusandadonis 1
Imperiously	~venusandadonis 1
In	~venusandadonis 11~various 7~sonnets 36~rapeoflucrece 33~loverscomplaint 8
Incapable	~sonnets 1
Incertainties	~sonnets 1
Inconstancy	~various 1
Incorporate	~venusandadonis 1
Increasing	~sonnets 1
Infusing	~venusandadonis 1
Injurious	~sonnets 1
Ink	~loverscomplaint 1
Instead	~rapeoflucrece 1
Intend	~sonnets 1
Intending	~rapeoflucrece 1
Into	~venusandadonis 3~rapeoflucrece 2
Is	~venusandadonis 4~various 1~sonnets 10~rapeoflucrece 9
Is't	~sonnets 1
It	~venusandadonis 10~various 1~sonnets 6~rapeoflucrece 5~loverscomplaint 1
Italy;	~rapeoflucrece 1
Jealous	~venusandadonis 1
Jealousy	~venusandadonis 3
Join	~sonnets 1
Jove	~venusandadonis 1~various 3~rapeoflucrece 1
Jove's	~various 1
Junes	~sonnets 1
Junius	~rapeoflucrece 1
Juno	~various 1
Just	~sonnets 1
Justice	~rapeoflucrece 1
KNOW	~venusandadonis 1
Keep	~various 1~rapeoflucrece 1
Kept	~loverscomplaint 1
Kill	~venusandadonis 1~sonnets 2~rapeoflucrece 1
