	~venusandadonis 5~sonnets 1~loverscomplaint 14
hang'd	~various 1
hanging	~venusandadonis 2~sonnets 1
hangs	~various 1~rapeoflucrece 1
hap	~sonnets 1~rapeoflucrece 1
hapless	~rapeoflucrece 1
haply	~sonnets 2
happier	~sonnets 3
happies	~sonnets 1
happiness	~rapeoflucrece 2
happy	~venusandadonis 1~sonnets 10~rapeoflucrece 3
harbinger	~various 1
harbour	~rapeoflucrece 1
hard	~venusandadonis 9~various 1~sonnets 1~rapeoflucrece 2~loverscomplaint 1
hard-believing	~venusandadonis 1
hard-favour'd	~venusandadonis 1~rapeoflucrece 1
harden	~rapeoflucrece 1
harden'd	~rapeoflucrece 1
harder	~sonnets 1~rapeoflucrece 2
hardest	~sonnets 1
hare	~venusandadonis 2
harken	~venusandadonis 1
harm	~venusandadonis 1~rapeoflucrece 2
harm'd;	~venusandadonis 1~loverscomplaint 1
harm;	~rapeoflucrece 1
harmful	~sonnets 1~rapeoflucrece 1
harmless	~rapeoflucrece 3
harmony	~venusandadonis 1
harms	~rapeoflucrece 3~loverscomplaint 1
harsh	~venusandadonis 1
harshsounding	~venusandadonis 1
harvest	~venusandadonis 1~sonnets 1~rapeoflucrece 1
hast	~venusandadonis 5~various 1~sonnets 16~rapeoflucrece 3
haste	~venusandadonis 4~sonnets 3~rapeoflucrece 5
haste;	~rapeoflucrece 1
hasten	~sonnets 1
hasteth	~venusandadonis 2
hastily	~rapeoflucrece 1
hasty	~rapeoflucrece 1
hat	~venusandadonis 1~loverscomplaint 1
hatch	~rapeoflucrece 1
hate	~venusandadonis 2~sonnets 14~rapeoflucrece 3
hate's	~sonnets 1
hate;	~sonnets 1~rapeoflucrece 1
hated	~sonnets 1~rapeoflucrece 1
hateful	~venusandadonis 1~rapeoflucrece 4
hatefully	~venusandadonis 1
hates	~rapeoflucrece 1
hateth	~sonnets 1
hath	~venusandadonis 25~various 9~sonnets 37~rapeoflucrece 34~loverscomplaint 5
hatred	~sonnets 1
haunted	~loverscomplaint 1
have	~venusandadonis 23~various 4~sonnets 69~rapeoflucrece 37~loverscomplaint 9
have;	~various 1~sonnets 1~rapeoflucrece 2
having	~venusandadonis 5~sonnets 6~rapeoflucrece 3
havings	~loverscomplaint 1
hawk	~rapeoflucrece 1
hawks	~sonnets 2
hazard	~rapeoflucrece 1
he	~venusandadonis 107~various 16~sonnets 35~rapeoflucrece 111~loverscomplaint 21
he's	~venusandadonis 1~sonnets 1
he,'this	~rapeoflucrece 1
he;	~rapeoflucrece 1
head	~venusandadonis 7~various 1~sonnets 5~rapeoflucrece 7~loverscomplaint 1
head;	~venusandadonis 1~sonnets 1~rapeoflucrece 2
headlong	~rapeoflucrece 1
heads	~rapeoflucrece 2
healeth	~rapeoflucrece 1
heals	~sonnets 1
health	~sonnets 2
healthful	~sonnets 2
hear	~venusandadonis 4~various 6~sonnets 6~rapeoflucrece 9~loverscomplaint 1
hear'st	~venusandadonis 1~sonnets 1
hear;	~venusandadonis 1~rapeoflucrece 1
heard	~venusandadonis 2~various 1~sonnets 1~rapeoflucrece 1
heard;	~rapeoflucrece 1
hearers	~rapeoflucrece 1
hearing	~venusandadonis 2~rapeoflucrece 1~loverscomplaint 1
hearkens	~venusandadonis 1
hears	~venusandadonis 6~rapeoflucrece 1
hearsay	~sonnets 1
hearsed	~rapeoflucrece 1
heart	~venusandadonis 26~various 4~sonnets 47~rapeoflucrece 18~loverscomplaint 6
heart's	~venusandadonis 4~sonnets 6~rapeoflucrece 1
heart-easing	~rapeoflucrece 1
heart-inflaming	~sonnets 1
heart-poor	~rapeoflucrece 1
heart-strings	~rapeoflucrece 1
heart-wish'd	~loverscomplaint 1
heart;	~venusandadonis 2~sonnets 3~rapeoflucrece 1
heartens	~rapeoflucrece 1
heartily	~venusandadonis 1
heartless	~various 1~rapeoflucrece 2
hearts	~sonnets 5~rapeoflucrece 4~loverscomplaint 3
heat	~venusandadonis 6~sonnets 4~rapeoflucrece 4
heating	~venusandadonis 1
heats	~sonnets 1
heave	~rapeoflucrece 2~loverscomplaint 1
heaved-up	~rapeoflucrece 2
heaven	~venusandadonis 4~various 1~sonnets 13~rapeoflucrece 8
heaven's	~venusandadonis 3~various 2~sonnets 6~rapeoflucrece 2~loverscomplaint 1
heaven-hued	~loverscomplaint 1
heavenly	~venusandadonis 4~various 3~sonnets 3~rapeoflucrece 1
heavens	~rapeoflucrece 2
heaveth	~venusandadonis 1
heavily	~sonnets 2
heaviness	~rapeoflucrece 2
heavy	~venusandadonis 5~sonnets 6~rapeoflucrece 7
heavy-hanging	~rapeoflucrece 1
hedge	~venusandadonis 1~various 1
heed	~sonnets 1
heedful	~rapeoflucrece 2
heedfully	~rapeoflucrece 1
heels	~venusandadonis 1
height	~sonnets 3~rapeoflucrece 1
heinous	~sonnets 1~rapeoflucrece 1
heir	~venusandadonis 1~sonnets 3
held	~venusandadonis 1~sonnets 2~rapeoflucrece 1~loverscomplaint 1
hell	~various 1~sonnets 7~rapeoflucrece 2~loverscomplaint 1
hell-born	~rapeoflucrece 1
hell;	~various 1~sonnets 1~rapeoflucrece 2
help	~venusandadonis 3~various 4~sonnets 4~rapeoflucrece 8
help;	~rapeoflucrece 1
helpless	~venusandadonis 1~rapeoflucrece 3
hemm'd	~venusandadonis 2
hems	~sonnets 1
hence	~venusandadonis 1~various 1~sonnets 5~rapeoflucrece 2~loverscomplaint 2
henceforth	~venusandadonis 1
her	~venusandadonis 130~various 36~sonnets 46~rapeoflucrece 182~loverscomplaint 26
her;	~venusandadonis 3~sonnets 1
herald	~venusandadonis 1~sonnets 1~rapeoflucrece 1
heraldry	~rapeoflucrece 1
herb	~venusandadonis 1
herd	~venusandadonis 1~various 1~sonnets 1
herdmen	~venusandadonis 1
herds	~venusandadonis 1
here	~venusandadonis 6~various 3~sonnets 4~rapeoflucrece 9~loverscomplaint 3
here's	~sonnets 1
here;	~rapeoflucrece 1
hereafter	~venusandadonis 1~rapeoflucrece 2
heretic	~sonnets 1
hers	~venusandadonis 1~various 1
herself	~venusandadonis 4~sonnets 1~rapeoflucrece 8~loverscomplaint 2
hid	~venusandadonis 1~sonnets 2~rapeoflucrece 3
hidden	~venusandadonis 1~sonnets 1
hide	~venusandadonis 1~sonnets 4~rapeoflucrece 4
hide;	~sonnets 1~rapeoflucrece 1
hideous	~sonnets 2~rapeoflucrece 1
hides	~venusandadonis 1~sonnets 1~rapeoflucrece 1
hiding	~rapeoflucrece 1
hie	~venusandadonis 1~various 1~rapeoflucrece 2
hied	~venusandadonis 1~sonnets 1
hies	~venusandadonis 1
hies;	~rapeoflucrece 1
high	~venusandadonis 7~sonnets 4~rapeoflucrece 7~loverscomplaint 1
high-pitch'd	~rapeoflucrece 1
high-proud	~rapeoflucrece 1
higher	~rapeoflucrece 2
highly	~venusandadonis 1
highmost	~sonnets 1
hild	~rapeoflucrece 1
hill	~venusandadonis 1~various 1~sonnets 1~loverscomplaint 1
hillocks	~venusandadonis 1
hills	~venusandadonis 2~various 1~rapeoflucrece 1
him	~venusandadonis 53~various 10~sonnets 35~rapeoflucrece 74~loverscomplaint 13
him;	~venusandadonis 5~rapeoflucrece 2
himself	~venusandadonis 7~various 3~sonnets 2~rapeoflucrece 14~loverscomplaint 1
hind	~rapeoflucrece 1
hinder	~venusandadonis 1
hindmost	~sonnets 1
hips	~venusandadonis 1
his	~venusandadonis 162~various 17~sonnets 104~rapeoflucrece 220~loverscomplaint 40
his;	~venusandadonis 1
hiss	~venusandadonis 1
hisses	~venusandadonis 1~rapeoflucrece 1
history	~sonnets 1
hit	~venusandadonis 2
hither	~rapeoflucrece 3
hits	~sonnets 1
hive	~rapeoflucrece 2~loverscomplaint 1
hoard	~loverscomplaint 1
hoards	~rapeoflucrece 1
hoarsely	~rapeoflucrece 1
hoisted	~sonnets 1
hold	~venusandadonis 2~various 2~sonnets 13~rapeoflucrece 4
hold-fast	~rapeoflucrece 1
holding	~rapeoflucrece 1
holds	~venusandadonis 2~sonnets 4~rapeoflucrece 1
hole	~rapeoflucrece 1
holiest	~loverscomplaint 1
hollo;	~venusandadonis 1
hollow	~venusandadonis 2
hollow-swelling	~rapeoflucrece 1
hollows	~venusandadonis 1
holy	~various 1~sonnets 4~rapeoflucrece 2~loverscomplaint 1
holy-thoughted	~rapeoflucrece 1
homage	~sonnets 1
home	~sonnets 3~rapeoflucrece 3
home-bred	~venusandadonis 1
homely	~rapeoflucrece 1
homeward	~venusandadonis 1
honest	~sonnets 1~rapeoflucrece 2
honesty	~rapeoflucrece 2
honey	~venusandadonis 3~sonnets 1~rapeoflucrece 3
honour	~venusandadonis 2~sonnets 7~rapeoflucrece 17~loverscomplaint 2
honour'd	~rapeoflucrece 1
honour's	~venusandadonis 2~rapeoflucrece 1
honourable	~venusandadonis 1~rapeoflucrece 2
honoured	~venusandadonis 1~rapeoflucrece 1
honouring	~sonnets 1
honours	~venusandadonis 1
hoof	~venusandadonis 1
hooks	~sonnets 1
hooks;	~rapeoflucrece 1
hope	~venusandadonis 4~various 1~sonnets 6~rapeoflucrece 5
hopeful	~venusandadonis 1
hopeless	~rapeoflucrece 2
hopes	~sonnets 2~rapeoflucrece 1
hoping	~venusandadonis 1~rapeoflucrece 1
horn	~venusandadonis 2~various 1
horns	~venusandadonis 1
horse	~venusandadonis 8~sonnets 1~loverscomplaint 2
horse;	~sonnets 1
horses	~sonnets 1
hospitality	~rapeoflucrece 1
host	~rapeoflucrece 2
hostess	~rapeoflucrece 1
hot	~venusandadonis 7~various 1~sonnets 3~rapeoflucrece 4~loverscomplaint 2
hot-burning	~rapeoflucrece 2
hotly	~venusandadonis 2~rapeoflucrece 1
hotter	~various 1
hound	~venusandadonis 1~rapeoflucrece 1
hounds	~venusandadonis 6~sonnets 1
hounds;	~various 1
hour	~venusandadonis 4~various 1~sonnets 3~rapeoflucrece 6~loverscomplaint 1
hour;	~sonnets 1
hourly	~rapeoflucrece 1
hours	~venusandadonis 2~sonnets 12~rapeoflucrece 4~loverscomplaint 1
hours;	~various 1~rapeoflucrece 1
house	~sonnets 1~rapeoflucrece 2
household's	~rapeoflucrece 1
housewife	~sonnets 1
hover'd	~loverscomplaint 1
hovering	~rapeoflucrece 1
how	~venusandadonis 14~various 4~sonnets 19~rapeoflucrece 16~loverscomplaint 3
howling	~venusandadonis 1~various 1
hue	~venusandadonis 3~sonnets 5~loverscomplaint 1
hues	~sonnets 1
huge	~sonnets 2~rapeoflucrece 2
hugely	~sonnets 1
hum	~rapeoflucrece 1
human	~various 1~rapeoflucrece 1
humanity	~rapeoflucrece 1
humble	~various 1~sonnets 2~rapeoflucrece 2
humbly	~venusandadonis 1
humour	~venusandadonis 1~sonnets 2~rapeoflucrece 2
hundred	~venusandadonis 2~sonnets 1
hung	~venusandadonis 1~sonnets 1
hunger	~rapeoflucrece 1
hungry	~sonnets 2
hunt	~venusandadonis 3~rapeoflucrece 1
hunted	~venusandadonis 1~sonnets 1
hunting	~venusandadonis 1
huntsman	~venusandadonis 1
hurls	~loverscomplaint 1
hurries	~venusandadonis 1
hurt	~venusandadonis 3~sonnets 1
husband	~sonnets 2~rapeoflucrece 9
husband's	~sonnets 1~rapeoflucrece 5
husband;	~sonnets 1
husbandry	~sonnets 2
hush	~sonnets 1
hush'd	~venusandadonis 1
hymn	~sonnets 1
hymns	~sonnets 2
i	~various 1
idiots	~rapeoflucrece 1
idle	~venusandadonis 4~various 1~sonnets 2~rapeoflucrece 1
idly	~sonnets 1
idol	~venusandadonis 1~sonnets 1
idolatry	~sonnets 1
if	~venusandadonis 19~various 5~sonnets 34~rapeoflucrece 24~loverscomplaint 1
ignorance	~sonnets 2
ignorant	~various 1
ill	~venusandadonis 1~various 2~sonnets 18~rapeoflucrece 10~loverscomplaint 1
ill-annexed	~rapeoflucrece 1
ill-resounding	~venusandadonis 1
ill-used	~sonnets 1
ill-wresting	~sonnets 1
ill;	~rapeoflucrece 2
illiterate	~rapeoflucrece 1
ills	~sonnets 1~rapeoflucrece 1
illumined	~venusandadonis 1
image	~venusandadonis 2~sonnets 4~rapeoflucrece 7
images	~sonnets 1~rapeoflucrece 1
imaginary	~venusandadonis 1~sonnets 1~rapeoflucrece 1
imagination	~venusandadonis 2~rapeoflucrece 1~loverscomplaint 1
imagine	~venusandadonis 1
imagined	~rapeoflucrece 2
imitate	~sonnets 1~rapeoflucrece 2
imitated	~sonnets 1
immodest	~venusandadonis 1
immortal	~venusandadonis 2~sonnets 1
immortality	~rapeoflucrece 1
immure	~venusandadonis 1
immured	~sonnets 1~loverscomplaint 1
impair	~sonnets 1
impanneled	~sonnets 1
impart	~sonnets 1
imparteth	~rapeoflucrece 1
impartial	~venusandadonis 1
impatience	~venusandadonis 1
impeach'd	~sonnets 1
impediments	~sonnets 1~loverscomplaint 1
imperfect	~sonnets 1
impiety	~sonnets 1~rapeoflucrece 2
impious	~rapeoflucrece 2
impleach'd	~loverscomplaint 1
import	~sonnets 1
importune	~sonnets 1
imposition	~rapeoflucrece 1
imposthumes	~venusandadonis 1
impregnable	~sonnets 1
impressest	~loverscomplaint 1
impression	~venusandadonis 1~sonnets 1~rapeoflucrece 2
imprint	~sonnets 1
imprinted	~venusandadonis 1
imprison'd	~venusandadonis 1~sonnets 2~rapeoflucrece 1
impure	~venusandadonis 1~rapeoflucrece 1
impurity	~rapeoflucrece 1
impute	~sonnets 1
in	~venusandadonis 133~various 49~sonnets 286~rapeoflucrece 223~loverscomplaint 55
in;	~venusandadonis 1
incaged	~venusandadonis 1
incense	~rapeoflucrece 1
incertainty	~sonnets 1
incest	~rapeoflucrece 1
inclination	~rapeoflucrece 1
incline;	~rapeoflucrece 1
inclined	~rapeoflucrece 1
including	~rapeoflucrece 1
income	~rapeoflucrece 1
incomparable	~rapeoflucrece 1
inconstant	~sonnets 2
increase	~venusandadonis 3~sonnets 4
increaseful	~rapeoflucrece 1
increasing;	~venusandadonis 1
incur	~rapeoflucrece 1
indeed	~venusandadonis 1~various 1~sonnets 1~rapeoflucrece 1
indenting	~venusandadonis 1
indigest	~sonnets 1
indirectly	~sonnets 1
infamies	~rapeoflucrece 1
infamy	~rapeoflucrece 6
infamy;	~rapeoflucrece 1
infant	~venusandadonis 1~rapeoflucrece 1
infant's	~venusandadonis 1~sonnets 1
infect	~rapeoflucrece 1
infected	~loverscomplaint 1
infection	~venusandadonis 1~sonnets 3~rapeoflucrece 1
inferior	~sonnets 1
infirmities	~venusandadonis 1
infirmity	~various 1~rapeoflucrece 1
inflame	~loverscomplaint 1
inflamed	~rapeoflucrece 1
inflict	~rapeoflucrece 1
influence	~venusandadonis 1~sonnets 2
infold	~venusandadonis 1
informer	~venusandadonis 1~sonnets 1
infringed	~rapeoflucrece 1
inhabit	~sonnets 1
inhearse	~sonnets 1
inherit	~sonnets 1
inheritors	~sonnets 1
iniquity	~sonnets 1~rapeoflucrece 3
injuries	~sonnets 2
injurious	~sonnets 1~rapeoflucrece 2
injury	~sonnets 3~loverscomplaint 1
injustice	~rapeoflucrece 1
ink	~sonnets 2~rapeoflucrece 1
innocence	~rapeoflucrece 1
inordinate	~rapeoflucrece 1
insinuate;	~venusandadonis 1
instance	~rapeoflucrece 1
instant	~sonnets 1
instigate	~rapeoflucrece 1
instinct	~sonnets 1
instrument	~rapeoflucrece 3
insufficiency	~sonnets 1
insulter	~venusandadonis 1
insulting	~rapeoflucrece 1
insults	~sonnets 1
insurrection	~rapeoflucrece 1
intelligence	~sonnets 1
intend;	~loverscomplaint 1
intending	~rapeoflucrece 1
intendments	~venusandadonis 1
intends	~venusandadonis 1
intent	~venusandadonis 1~rapeoflucrece 2
intents	~sonnets 1
interchange	~sonnets 1~rapeoflucrece 1
interdict	~various 1
interest	~venusandadonis 1~sonnets 2~rapeoflucrece 2
interest;	~rapeoflucrece 1
interim	~sonnets 1
intermix	~sonnets 1
interprets	~rapeoflucrece 1
interrupted	~rapeoflucrece 1
intituled	~rapeoflucrece 1
into	~venusandadonis 1~sonnets 5~rapeoflucrece 3~loverscomplaint 1
intrude	~rapeoflucrece 1
inundation	~loverscomplaint 1
inured;	~rapeoflucrece 1
invasion	~rapeoflucrece 1
invective	~rapeoflucrece 1
inveigh	~rapeoflucrece 1
invent	~sonnets 2
invention	~venusandadonis 1~sonnets 5~rapeoflucrece 1
inventions	~rapeoflucrece 1
invised	~loverscomplaint 1
invisible	~venusandadonis 1~rapeoflucrece 1
invisible;	~venusandadonis 1
invite	~loverscomplaint 1
invited	~sonnets 1
inviting	~sonnets 1
invocate;	~sonnets 1
invocations	~rapeoflucrece 1
invoked	~sonnets 1
inward	~venusandadonis 1~sonnets 4~rapeoflucrece 4
ireful	~venusandadonis 1
iron	~venusandadonis 1~various 1~rapeoflucrece 1
is	~venusandadonis 85~various 41~sonnets 158~rapeoflucrece 103~loverscomplaint 9
is't	~loverscomplaint 1
is;	~various 1~sonnets 1~rapeoflucrece 2
island	~rapeoflucrece 1
issue	~venusandadonis 1~sonnets 2~rapeoflucrece 2
issueless	~sonnets 1
it	~venusandadonis 59~various 15~sonnets 95~rapeoflucrece 83~loverscomplaint 12
it;	~venusandadonis 3~sonnets 3~rapeoflucrece 1
itself	~venusandadonis 1~various 1~sonnets 7~rapeoflucrece 5
ivory	~venusandadonis 2~rapeoflucrece 3
ivy	~various 1
jacks	~sonnets 2
jade	~venusandadonis 1~rapeoflucrece 1
jade;	~sonnets 1
jar;	~venusandadonis 1
javelin's	~venusandadonis 1
jaws	~sonnets 1
jealous	~sonnets 1~rapeoflucrece 1
jealousy	~venusandadonis 1~sonnets 1~rapeoflucrece 1
jennet	~venusandadonis 1
jest	~venusandadonis 1~various 2
jest;	~venusandadonis 1
jestings	~various 1
jet	~loverscomplaint 1
jewel	~venusandadonis 1~sonnets 4~rapeoflucrece 2~loverscomplaint 1
jewels	~venusandadonis 1~sonnets 2
jigs	~various 1
jocund	~rapeoflucrece 1
join	~venusandadonis 1~rapeoflucrece 1
joined	~various 1
joint	~rapeoflucrece 1
jointly	~rapeoflucrece 2
joints	~venusandadonis 2~rapeoflucrece 1
jollity	~sonnets 1
jot	~venusandadonis 1
journey	~sonnets 2
joy	~venusandadonis 3~sonnets 6~rapeoflucrece 8
joy'd	~various 1
joy;	~venusandadonis 1~sonnets 2
joyless	~rapeoflucrece 1
joys	~various 1
judge	~venusandadonis 1~rapeoflucrece 2
judgment	~sonnets 6~loverscomplaint 2
judgment's	~sonnets 1
juice	~venusandadonis 1
jump	~sonnets 1~rapeoflucrece 1
just	~venusandadonis 2~sonnets 3~rapeoflucrece 2
just;	~venusandadonis 1
justice	~rapeoflucrece 2
justify	~sonnets 1
justly	~rapeoflucrece 2
keen	~sonnets 2~rapeoflucrece 1~loverscomplaint 1
keep	~venusandadonis 4~sonnets 9~rapeoflucrece 5
keep'st	~sonnets 1
keeps	~venusandadonis 1~sonnets 5
ken	~rapeoflucrece 1
kennell'd	~venusandadonis 1
kept	~venusandadonis 1~various 1~sonnets 3~rapeoflucrece 5~loverscomplaint 1
key	~sonnets 1
key-cold	~rapeoflucrece 1
kill	~venusandadonis 5~various 1~sonnets 2~rapeoflucrece 9
kill'd	~venusandadonis 3~various 1~rapeoflucrece 4
kill;	~sonnets 1~rapeoflucrece 1
kills	~venusandadonis 1~sonnets 1~rapeoflucrece 1
kind	~venusandadonis 3~sonnets 9~rapeoflucrece 2~loverscomplaint 3
kind-hearted	~sonnets 1
kind;	~sonnets 1
kinder	~venusandadonis 1
kindle	~venusandadonis 1
kindled	~rapeoflucrece 3
kindly	~rapeoflucrece 1
kindness	~sonnets 2
kindred	~loverscomplaint 1
kinds	~sonnets 1~rapeoflucrece 2~loverscomplaint 1
king	~venusandadonis 2~various 1~sonnets 2~rapeoflucrece 5
king's	~rapeoflucrece 1
king;	~various 1~rapeoflucrece 3
kingdom	~sonnets 1~rapeoflucrece 1
kingdoms	~sonnets 1
kingly	~sonnets 1
kings	~venusandadonis 1~sonnets 2~rapeoflucrece 8
kinsman	~rapeoflucrece 1
kinsmen	~rapeoflucrece 1
kirtle	~various 1
kiss	~venusandadonis 20~various 2~sonnets 3~rapeoflucrece 1
kiss'd	~rapeoflucrece 1~loverscomplaint 1
kiss;	~rapeoflucrece 1
kissed	~venusandadonis 1
kisses	~venusandadonis 4~various 1
kisses;	~venusandadonis 1
kissing	~venusandadonis 3
knee	~rapeoflucrece 1
kneel	~rapeoflucrece 1
kneels;	~venusandadonis 1
knees	~rapeoflucrece 1
knell	~rapeoflucrece 1
knell;	~various 1
knew	~venusandadonis 2~sonnets 1~rapeoflucrece 1~loverscomplaint 2
knife	~sonnets 4~rapeoflucrece 9
knife's	~rapeoflucrece 1
knight	~various 3
knighthood	~rapeoflucrece 3
knights	~sonnets 1
knit	~sonnets 1~rapeoflucrece 1
knot	~loverscomplaint 1
know	~venusandadonis 10~various 6~sonnets 16~rapeoflucrece 9~loverscomplaint 1
know'st	~venusandadonis 1~sonnets 3
know;	~sonnets 1
knowing	~sonnets 2~rapeoflucrece 1
knowledge	~various 1~sonnets 3
known	~various 1~sonnets 1~rapeoflucrece 1
knows	~venusandadonis 3~sonnets 10~rapeoflucrece 4
knows;	~sonnets 1
knowst	~sonnets 1
labour	~venusandadonis 2~rapeoflucrece 3~loverscomplaint 1
labour'd	~rapeoflucrece 1
labouring	~sonnets 1~rapeoflucrece 1~loverscomplaint 1
labours	~venusandadonis 1
labyrinth	~venusandadonis 1
lace	~sonnets 1
lack	~venusandadonis 2~various 1~sonnets 4
lack'd	~sonnets 2~loverscomplaint 1
lackey	~rapeoflucrece 1
lacking	~venusandadonis 1~sonnets 1
lad	~various 1
laden	~venusandadonis 1
ladies	~sonnets 1~rapeoflucrece 2
lady	~venusandadonis 1~various 3~rapeoflucrece 2
lady's	~various 2~rapeoflucrece 1
lagging	~rapeoflucrece 1
laid	~sonnets 3~rapeoflucrece 2~loverscomplaint 1
lain	~rapeoflucrece 1
lamb	~venusandadonis 1~sonnets 1~rapeoflucrece 3
lambs	~sonnets 1~rapeoflucrece 1
lame	~sonnets 2~rapeoflucrece 1
lame;	~various 1
lameness	~sonnets 1
lament	~rapeoflucrece 1
lamentable	~rapeoflucrece 2
lamentations;	~rapeoflucrece 1
lamenting	~rapeoflucrece 2
laments	~rapeoflucrece 1
lamp	~venusandadonis 2
lamps	~venusandadonis 2
lance	~venusandadonis 1
land	~venusandadonis 1~sonnets 1
land;	~rapeoflucrece 1
landlord	~loverscomplaint 1
lands	~rapeoflucrece 1~loverscomplaint 1
language	~venusandadonis 1
languish'd	~sonnets 1
languisheth	~venusandadonis 1
languishment	~rapeoflucrece 2
lank	~rapeoflucrece 1
lap	~sonnets 1
lapp'd	~various 1
large	~sonnets 5
largeness	~loverscomplaint 1
largess	~sonnets 1
lark	~venusandadonis 1~sonnets 1
lark;	~various 1
lascivious	~sonnets 1
lass	~various 1
last	~venusandadonis 5~various 1~sonnets 2~rapeoflucrece 8~loverscomplaint 1
lasting	~sonnets 1~rapeoflucrece 3
latch	~sonnets 1~rapeoflucrece 2
late	~venusandadonis 4~various 1~sonnets 1~rapeoflucrece 5~loverscomplaint 1
late-embarked	~venusandadonis 1
late-sack'd	~rapeoflucrece 1
late;	~venusandadonis 1
lattice	~loverscomplaint 1
laud	~rapeoflucrece 2
laugh	~rapeoflucrece 1~loverscomplaint 1
laugh'd	~venusandadonis 1~sonnets 1
laugher	~loverscomplaint 1
laughs	~venusandadonis 1
laund	~venusandadonis 1
law	~venusandadonis 2~rapeoflucrece 5~loverscomplaint 1
lawful	~sonnets 3~rapeoflucrece 3
lawn	~venusandadonis 1~rapeoflucrece 2
laws	~sonnets 1~rapeoflucrece 2
lay	~venusandadonis 4~various 1~sonnets 1~rapeoflucrece 7
lay;	~sonnets 1
lays	~various 1~sonnets 4
lazy	~venusandadonis 1
lead	~venusandadonis 2~sonnets 2
lead;	~various 1
leaden	~venusandadonis 1~rapeoflucrece 1
leader's	~rapeoflucrece 1
leaders	~venusandadonis 1
leadeth	~venusandadonis 1
leadeth;	~rapeoflucrece 1
leading	~rapeoflucrece 1
leads	~sonnets 2
leaf	~venusandadonis 2
league	~sonnets 1~rapeoflucrece 3
lean	~venusandadonis 3~rapeoflucrece 1
lean'd	~rapeoflucrece 1
leaning	~venusandadonis 1
leap	~venusandadonis 1~various 1~sonnets 2~rapeoflucrece 1
leap'd	~sonnets 1~rapeoflucrece 1
leaps	~venusandadonis 3
learn	~venusandadonis 2~sonnets 2~rapeoflucrece 2
learn'd	~venusandadonis 1~sonnets 1~rapeoflucrece 1
learned	~various 2~rapeoflucrece 1
learned's	~sonnets 1
learning	~various 1~sonnets 2
lease	~sonnets 4
leases	~sonnets 1
least	~venusandadonis 1~sonnets 4~rapeoflucrece 2
least;	~sonnets 1
leathern	~venusandadonis 1
leave	~venusandadonis 8~various 1~sonnets 10~rapeoflucrece 4~loverscomplaint 2
leaves	~venusandadonis 1~various 3~sonnets 8~rapeoflucrece 3~loverscomplaint 1
lecher	~various 1
lechers	~rapeoflucrece 1
lectures	~rapeoflucrece 1
led	~rapeoflucrece 1
left	~venusandadonis 4~various 1~sonnets 5~rapeoflucrece 4
left'st	~various 2
leg	~rapeoflucrece 1
legacy	~sonnets 1~rapeoflucrece 1
legions	~sonnets 1
legs	~venusandadonis 3
leisure	~venusandadonis 1~sonnets 4~rapeoflucrece 1
leisurely	~rapeoflucrece 1
leisures	~loverscomplaint 1
lend	~venusandadonis 6~sonnets 5~rapeoflucrece 4~loverscomplaint 1
lendeth	~rapeoflucrece 1
lends	~venusandadonis 1~sonnets 4~rapeoflucrece 2
length	~various 2~rapeoflucrece 2
lengthened	~rapeoflucrece 1
lengths	~sonnets 1
lent	~venusandadonis 2~rapeoflucrece 4~loverscomplaint 1
less	~sonnets 6~loverscomplaint 1
less;	~sonnets 1~rapeoflucrece 2
lesser	~sonnets 1~rapeoflucrece 3
lesson	~venusandadonis 1~sonnets 1
lest	~venusandadonis 1~sonnets 2~rapeoflucrece 1
let	~venusandadonis 9~various 1~sonnets 16~rapeoflucrece 18~loverscomplaint 2
lets	~sonnets 1~rapeoflucrece 1
letter	~rapeoflucrece 3
letters	~loverscomplaint 1
level	~sonnets 2~loverscomplaint 1
levell'd	~loverscomplaint 2
lewd	~rapeoflucrece 2
liberty	~sonnets 1~loverscomplaint 1
liberty;	~sonnets 1
licking	~venusandadonis 1
lie	~venusandadonis 5~various 3~sonnets 13~rapeoflucrece 2
lie;	~venusandadonis 1
lies	~venusandadonis 4~various 1~sonnets 11~rapeoflucrece 12~loverscomplaint 2
lies;	~venusandadonis 3~sonnets 1~rapeoflucrece 1
life	~venusandadonis 8~sonnets 22~rapeoflucrece 21~loverscomplaint 1
life's	~sonnets 1~rapeoflucrece 6
life;	~sonnets 1~rapeoflucrece 1
lifeless	~venusandadonis 1~rapeoflucrece 1
lifts	~venusandadonis 1
light	~venusandadonis 14~sonnets 6~rapeoflucrece 21~loverscomplaint 1
light'st	~sonnets 1
light;	~venusandadonis 1~rapeoflucrece 1
lighted	~rapeoflucrece 1
lighteth	~rapeoflucrece 1
lightless	~rapeoflucrece 2
lightning	~venusandadonis 1~various 1
lights	~rapeoflucrece 3
like	~venusandadonis 36~various 13~sonnets 26~rapeoflucrece 34~loverscomplaint 1
liked	~various 1
likely	~venusandadonis 1
likeness	~venusandadonis 1~sonnets 1~rapeoflucrece 1
liker	~sonnets 1
likes	~rapeoflucrece 1
likewise	~rapeoflucrece 1~loverscomplaint 1
liking	~venusandadonis 1~rapeoflucrece 2
lilies	~rapeoflucrece 1
lily	~venusandadonis 3~various 1~sonnets 1~rapeoflucrece 2
lily's	~sonnets 1
limb	~venusandadonis 1
limbecks	~sonnets 1
limbs	~sonnets 2
limed	~rapeoflucrece 1
